MENU NAME,SERVINGS,RECIPE TOTAL PRICE,RESTAURANT PRICE,SAVED MONEY,COOK STEP,MENU THEME,main_ing,total_ingredient,LEVEL,COOK TIME,MENU DESCRIPTION,RESTAURANT NAME,RESTAURANT MENU,url,total_ing_with_gram
고등어구이,1인분,"1,691","12,000","10,309","['Step 1 : 충분히 해동된 고등어를 깨끗하게 씻어 주세요. 고등어에 묻은 물기를 닦아내 수분을 완전히 제거해 주세요.\r\n (tip. 수분을 제거해야 구울 때 기름이 튀지 않고 냄새가 안 나요)', 'Step 2 : 고등어 양면에 소금과 후춧가루를 적당량 뿌려 밑간을 해 주세요.\r\n(tip. 소금은 굵은 것보다 고운 입자를 사용하는 게 좋아요. 굵은소금이 있다면 곱게 갈아주세요)', 'Step 3 : 팬에 오일을 두르고 중간불로 달궈 주세요. 고등어의 껍질이 아래로 향하도록 올린 후, 중약불로 낮춰 10초 정도 꾹 눌러 구워주세요. 고등어가 80% 정도 익었을 때 뒤집어 10초 정도 더 익혀 주세요.', 'Step 4 : 겉은 바삭, 속은 촉촉하게 익은 고등어구이를 맛있게 즐겨 주세요.']",['한식'],['고등어 필렛'],"['고등어 필렛','오일','소금','후춧가루']",★☆☆,20분,"냄새 때문에 집에서 쉽게 도전하기 힘들었던 고등어 구이! but 강레오 셰프의 고등어구이 레시피만 있다면 이젠 집에서도 문제 없답니다. 냄새 하나 없이 겉은 바삭, 속은 촉촉한 고등어구이 요리해 보세요~! ",고삼이,고등어구이,https://static.wtable.co.kr/image/production/service/recipe/2193/846034f0-4672-4b37-893c-84bfc1c1e43a.jpg,"고등어 필렛 130g,오일 적당량,소금 적당량,후춧가루 적당량"
육개장,2인분,"12,569","18,000","5,431","['Step 1 : 한우 잡육을 찬물에 담가 30분 정도 핏물을 뺀 후 1시간 정도 삶아 주세요. 삶은 잡육은 취향에 따라 찢거나 썰어 주세요.\r\n(tip. 물 양은 고기가 잠길 정도로 넣고 끓이다가 찬물 2컵을 넣어 더 끓여주세요)\r\n\r\n(미라클 1) 고기 질감이 부드러운지 질긴지 확인하는 방법\r\n-  생고기를 만졌을 때 부드러우면 익었을때도 부드럽답니다!\r\n(미라클 2) 고기 핏물을 빨리 빼는 방법\r\n- 고기를 물에 담근 후 주물럭 해주면 핏물을 빨리 뺄 수 있어요. 너무 많이 빼면 맛이 줄어들 수 있으니 적당히 빼주세요!', 'Step 2 : 삶은 고사리와 토란대, 대파를 먹기 좋은 크기로 썰어주세요. 달군 냄비에 식용유를 두르고 대파를 볶아 주세요\r\n(tip.약불에 볶아야 대파가 타지 않아요)', 'Step 3 : 파가 익으면 불을 끈 후 고춧가루를 넣고 함께 볶아 주세요. 참기름과 간장을 약간 넣어 주세요.', 'Step 4 : 간마늘을 넣고 볶아 주세요. 삶은 잡육과 육수를 넣고 팔팔 끓여 주세요.\r\n(tip. 간마늘을 나중에 넣어야 타지 않아요)', 'Step 5 : 간장과 소금으로 간을 맞춰 주세요. 삶은 고사리와 토란대를 넣고 부드럽게 익혀 주세요. 숙주를 넣고 한소끔 끓여 주세요. 그릇에 푼 달걀을 넣어 익힌 후 맛있게 즐겨 주세요.']",['메인요리'],"['한우 잡육','고춧가루']","['한우 잡육','잡육 육수','삶은 고사리','삶은 토란대','대파 ','숙주','참기름','식용유','간장','고춧가루','달걀','다진 마늘']",★★☆,110분,한우 잡육은 소 한 마리를 생산한 뒤 부위별로 남은 고기를 모은 건데요! 맛있으면서도 다양한 부위를 합리적인 가격으로 즐길 수 있답니다. 한우 잡육으로 육개장을 만들어 먹어도 좋아요. 근데 육개장은 너무 만들기 어려울 것 같다고요? NO! NO! 오세득 셰프의 육개장 레시피만 있으면 누구든 쉽게 요리할 수 있어요. 얼큰하게 입맛 살려 줄 육개장 한 그릇! 이제 간단하게 만들어 보세요~,혜장국,육개장,https://static.wtable.co.kr/image/production/service/recipe/2199/1bee84b1-ba0c-43da-93ea-90edb3a201c3.jpg,"쇠고기 양지머리 400g,대파 2대,숙주 한 줌,불린 고사리 한 줌,느타리버섯 한 줌,불린 토란대 한 줌,소금 약간,칼국수면 적당량,대파 1대,양파 1개,무 1/5개,국간장 3큰술,고춧가루 2큰술,맛술 2큰술,고추기름 2큰술,다진 마늘 1큰술,소금.후추 약간씩"
XO 소스 해물 볶음밥,2인분,"5,284","30,000","24,716","['Step 1 : 알새우는 끓는 물에 살짝 데쳐 익혀주고, 게살은 물기를 짜서 준비해 주세요. 달걀은 잘 섞이게 풀어준다. 대파, 청피망, 홍피망은 밥알 크기로 잘게 다져주세요.', 'Step 2 : 달궈진 팬에 식용유를 두르고 달걀을 넣어 스크램블을 만들어 주세요.', 'Step 3 : 달걀이 거의 다 익었을 때 밥을 넣어 섞어가며 볶아주세요.', 'Step 4 : 잘게 썬 대파와 청피망, 홍피망을 넣고 볶다가 XO 소스, 치킨파우더, 소금, 후춧가루를 넣어 간을 해주세요.', '완성 : 밥알이 서로 달라붙지 않게 볶아졌으면 준비된 새우와 게살을 넣어 한 번 더 볶고 참기름을 넣어 완성해 주세요.\r\n\r\n*Tip. 게살의 비린내가 싫다면, 생강, 대파를 넣고 끓인 물에 게살을 살짝 데쳐서 사용하면 게살 특유의 비린내가 사라진답니다~']",['중식'],"['밥','알새우','게살','XO소스']","['밥','알새우','게살','식용유','달걀','대파','홍피망','청피망','XO소스','치킨파우더','소금','참기름','후춧가루']",★☆☆,30분,중국식 매콤한 해산물 소스인 'XO소스'를 넣어 만든 해물 볶음밥이예요. 시판 소스로도 쉽게 일품요리의 맛을 느껴보세요~,자자,X.O해물볶음밥,https://static.wtable.co.kr/image/production/service/recipe/1208/5aedf843-34ac-4822-84f9-c166c2eb3002.jpg,"밥 2공기(400g),알새우 8마리,게살 60g,식용유 3큰술,달걀 2개,대파 ¼대,홍피망 ¼개,청피망 ¼개,XO소스 1큰술,치킨파우더 ½작은술,소금 ½작은술,참기름 ½작은술,후춧가루 약간"
가리비칼국수,2인분,"6,128","18,000","11,872","['Step 1  : 가리비는\xa0엷은\xa0소금물에\xa0담가\xa0해감한\xa0후\xa0흐르는 물에\xa0조리용\xa0솔로\xa0껍질을\xa0비벼\xa0씻고\xa0미더덕은\xa0깨끗이\xa0씻어\xa0준비해 주세요.', 'Step 2 : 감자는\xa0먹기 좋은\xa0두께로\xa0자르고\xa0양파는\xa0채를\xa0썰어주세요. 팽이버섯은\xa0밑동을\xa0자른\xa0후\xa0먹기 좋게\xa0찢고\xa0대파와\xa0청양고추는\xa0어슷하게\xa0썰어주세요.', 'Step 3 : 냄비에\xa0멸치 새우 다시마 육수를\xa0붓고\xa0끓기\xa0시작하면\xa0감자와\xa0미더덕, 양파, 국물 양념 재료를\xa0넣어\xa0끓여주세요.', 'Step 4 : 감자가\xa0반쯤\xa0익으면\xa0가리비와\xa0칼국수 면을\xa0넣고\xa03~4분 정도\xa0끓여주세요.', 'Step 5 : 마지막에\xa0대파, 팽이버섯, 청양고추를\xa0넣고\xa0굵은 천일염으로\xa0간을\xa0가감한\xa0후\xa0한소끔\xa0끓인\xa0후\xa0불을\xa0꺼주세요.']","['메인요리', '한식']","['칼국수 면','가리비 (소)']","['칼국수 면','가리비 ','미더덕 ','감자','양파','대파','청양고추','팽이버섯','멸치 새우 다시마 육수','굵은 천일염','국간장','맛술','다진 마늘','후춧가루']",★★☆,35분," 담백하면서 독특한 풍미가 있는 가리비는 국물 요리에서 더욱 빛이 나는데요. 감칠맛 나는 시원한 국물이 입맛을 사로잡기 때문이에요. 그래서 준비한 오늘의 레시피! 가리비를 넣고 끓여 시원한 맛이 일품인 가리비 칼국수랍니다. 큼지막한 가리비가 들어가 보기에도 좋고 맛도 깊어진 가리비 칼국수예요. 칼국수가 당기는 날, 담백하고 시원한 가리비 칼국수를 드셔보세요!",해물이네,바지락 칼국수,https://static.wtable.co.kr/image/production/service/recipe/950/539055ac-bdb4-4d2f-84e7-7af4d4108d43.jpg,"칼국수 면 2인분 (300g),가리비 (소) 15개,미더덕 (또는 오만둥이) ½컵,감자 1개,양파 ¼개,대파 ⅓개,청양고추 2개,팽이버섯 ½봉 ,멸치 새우 다시마 육수 7컵,굵은 천일염 약간,국간장 ½큰술,맛술 1큰술,다진 마늘 1작은술,후춧가루 약간"
가지덮밥,2인분,"14,492","18,000","3,508","['Step 1 : 가지는 길게 반으로 자른 후 먹기 좋은 크기로 썰어주세요. 쪽파는 송송 썰어주세요.', 'Step 2 : 쇠고기는 핏물을 제거한 후 밑간 재료에 버무려주세요. 볼에 양념장 재료를 넣어 섞어주세요.', 'Step 3 : 내열 용기에 밑간한 쇠고기와 가지를 넣고 식용유를 둘러주세요.', 'Step 4 : ""법랑 접시에 석쇠를 놓고 내열 용기를 올린 후 1단에 넣고 광파오븐 수동 요리 <스팀 레인지>에서 10분간 익혀주세요.\r\n * 광파오븐 스팀 물통에 물을 채우고 시작해주세요.""', 'Step 5 : 익힌 가지와 고기를 잘 섞은 후 밥 위에 얹고 양념장과 쪽파, 통깨를 뿌려 맛있게 즐겨주세요.']",['오븐 요리'],"['가지','밥']","['가지','다진 쇠고기','밥','쪽파','식용유','간장','두반장','다진 마늘','설탕','맛술','참기름','후춧가루','간장','다진 양파','다진 청양고추','다진 홍고추','매실청','참기름','통깨','후춧가루','소금, 후추']",★☆☆,15분,"가지와 쇠고기를 간단하게 익혀 밥에 얹어내면 완성. 별다른 반찬 없이도 한끼를 건강하고 맛있게 즐길 수 있어요.

*본 레시피는 우리의식탁과 LG ThinQ Taste가 공동으로 개발한 LG광파오븐 전용 레시피입니다.",남소관,어형갸지덮밥,https://static.wtable.co.kr/image/production/service/recipe/2058/323bb97f-4645-4d55-b4f1-ea701b3944ed.jpg,"가지 2개(250g),다진 쇠고기 200g,밥 2공기,쪽파 1대,식용유 ½큰술,간장 1큰술,두반장 1큰술,다진 마늘 ½큰술,설탕 1큰술,맛술 1큰술,참기름 약간,후춧가루 약간,간장 3큰술,다진 양파 1큰술,다진 청양고추 2큰술,다진 홍고추 약간,매실청 1큰술,참기름 1큰술,통깨 약간,후춧가루 약간, "
간장 가지덮밥,2인분,"5,466","19,000","13,534","['Step 1 : 가지는 깨끗이 씻어 꼭지를 자르고 1cm 두께로 길게 썰어주세요.', 'Step 2 : 가지에 소금과 설탕을 넣고 20분간 절여주세요.', 'Step 3 : 절인 가지의 물기를 제거하고 밀가루옷을 얇게 입혀주세요.', 'Step 4 : 마늘은 편을 썰어 구워주세요. 달군 팬에 기름을 두르고 중약불에서 가지를 앞뒤로 노릇하게 3~4분간 구워주세요.', 'Step 5 : 소스재료를 섞은 후 가지를 구운 팬에 붓고 팔팔 끓여준 불을 약불로 줄이고 구워둔 가지를 넣고 2~3분간 졸여주세요.', 'Step 6 : 양파는 얇게 링으로 썰어 찬물에 담가 매운기를 제거하고 채반에서 물기를 제거해 주세요.', 'Step 7 : 그릇에 밥을 담고 양파를 소복히 올린 후 통깨를 뿌리고 구운 가지를 가지런히 올려주세요. 쪽파와 후춧가루를 뿌려 완성한 후 맛있게 즐겨주세요.']","['메인요리', '간단요리', '채식', '한식']",['가지'],"['가지','양파','전분','쪽파','식용유','통깨','후춧가루','소금','설탕','물','간장','미림','청주','설탕','생강가루']",★☆☆,25분,"우리의식탁에서 꾸준하게 인기 있는 메뉴! 바로 가지덮밥이에요. 많은 분들이 사랑해주시는 만큼 다양한 재료를 활용해 더 맛있는 가지덮밥을 만들어봤는데요. 이전에는 된장 소스를 활용한 가지덮밥이었다면, 이번엔 간장 소스 베이스로 맛을 냈답니다. 부드러운 가지를 간장 양념에 졸여 밥 위에 얹어내기만 하면 완성! 간편하고 맛있는 한그릇 요리, 초간단 가지덮밥 레시피 지금 바로 알려드릴게요.",수림식당,가지덮밥,https://static.wtable.co.kr/image/production/service/recipe/1940/4c5b3a9b-b3ae-4dc7-b5bd-33acb36212e6.jpg,"가지 3개,양파 1개,전분 2큰술,쪽파 2대,식용유 약간,통깨 약간,후춧가루 약간,소금 약간,설탕 약간,물 4큰술,간장 3큰술,미림 2큰술,청주 2큰술,설탕 2큰술,생강가루 약간"
간장게장,2인분,"22,860","48,100","25,240","['Step 1 : 냄비에 물과 깨끗이 씻어 손질한 \xa0육수 재료를 넣고 끓이다가 물이 끓어오르면 다시마를 건져내고 15분 정도 끓이다가 불을 끈 후 가다랑어포를 넣고 5분 정도 우린 후 체에 걸러 가다랑어 육수를 만들어주세요.\r\n(tip. 사과는 씨를 제거한 후 사용해주세요.)', 'Step 2 : 홍고추와 청양고추는 먹기 좋게 썰고 마늘은 편으로 썰어주세요. 레몬은 깨끗이 씻어 링으로 슬라이스 해 주세요.', 'Step 3 : 냄비에 가다랑어 육수 6컵과 간장양념 재료를 넣고 끓인 후 식혀주세요.\r\n(tip. 국물이 팔팔 끓으면 불을 꺼 주세요.)', 'Step 4 : 꽃게는 조리용 솔로 비벼 깨끗이 씻은 후 물기를 제거하고 보관 용기에 꽃게의 배가 위로 오도록 담아주세요.\r\n(tip. 봄에는 알이 꽉 찬 암게를 사용하고 가을에는 살이 통통하게 오른 수게를 사용해서 만드시는 것이 좋고 살아있는 게는 냉동실에 2시간 정도 넣었다가 손질하시면 게의 살이 물러지지 않아요.)', 'Step 5 : 보관 용기에 마늘과 레몬, 홍고추, 청양고추를 넣은 후 차게 식은 간장양념 물을 부어주세요.\r\n(tip. 꽃게가 간장 물에 잠기도록 눌러 뚜껑을 닫아주세요.)', 'Step 6 : 냉장고에 넣어 하루 숙성 후 국물만 따라내어 끓이고 식혀 다시 꽃게에 붓고 하루에서 이틀 정도 냉장고 넣어 숙성해 주세요.\r\n(tip. 간장게장을 오래 두고 먹으려면 꽃게와 간장 물을 따로 나눠 냉동고에 넣어 보관해 주세요.)', 'Step 7 : 맛있게 즐겨주세요.']","['한식', '메인요리']",['꽃게 (암게)'],"['꽃게 ','홍고추','청양고추','마늘','레몬 ','가다랑어포','물','다시마 ','사과','마늘','생강 ','양파','대파','건고추','통후추','간장','맛술','청하','설탕','매실청']",★★☆,50분," 밥도둑의 원조 나가신다! 길을 비켜라!
 봄 제철 맞아 알이 꽉 찬 암게를 사용해서 만든 간장게장 레시피를 가져왔어요~ 가다랑어포 육수를 사용해 감칠맛은 훌륭하지만 짜지 않은 간장게장이에요. 노란 알이 가득해 보기에도 맛있어 보이지만 담백하고 고소한 맛에 정신없이 빠져들 수밖에 없는 마성의 레시피. 어렵지 않은 방법으로 소개해 드릴 테니 집에서 맛있는 간장게장 만들어 보세요.
",옛날집,간장게장,https://static.wtable.co.kr/image/production/service/recipe/1370/5352755b-d351-4ab9-abdd-eea1f7343c59.jpg,"꽃게 (암게) 1kg,홍고추 1개,청양고추 2개,마늘 5쪽,레몬 (생략 가능) ¼개,가다랑어포 반 줌,물 9컵,다시마 (사방 6cm) 2쪽,사과 ½개,마늘 5쪽,생강 (마늘 한쪽 사이즈) 2쪽,양파 ½개,대파 ½대,건고추 2개,통후추 15알,간장 3컵,맛술 ½컵,청하 ¼컵,설탕 4큰술 ,매실청 2큰술 "
간장비빔국수,2인분,"7,506","22,000","14,494","['Step 1 : 쪽파는 얇게 송송 썰어주세요. 볼에 국수 양념 재료를 넣어 섞어주세요.', 'Step 2 : 끓는 물에 소면을 펼쳐 넣고 젓가락으로 저어 면끼리 달라붙지 않도록 저어주고 물이 끓어오르면 찬물 반 컵을 2~3회 반복해서 부어 국수를 삶아주세요.', 'Step 3 : 삶은 소면은 찬물에서 여러 번 비벼가며 헹궈 전분기를 없앤 후 체에 받쳐 물기를 빼 주세요', 'Step 4 : 큰 볼에 삶은 국수와 국수 양념장을 넣고 골고루 섞어주세요. \r\n(tip 기호에 따라 간장을 가감해서 간을 맞춰 주세요)', 'Step 5 : 그릇에 간장비빔국수를 담은 후 달걀노른자를 가운데 얹고 송송 썬 쪽파와 김가루, 통깨를 뿌려 맛있게 즐겨주세요.\r\n\r\n(면 예쁘게 담는 tip. 긴 젓가락이나 조리용 집게로 면을 넉넉하게 잡아서 돌돌 말아주세요. 접시에 흐트러지지 않게 살살 젓가락을 빼주며 길게 담거나, 세워서 동그랗게 둥지처럼 담으면 면을 예쁘게 담을 수 있답니다)']","['간단요리', '메인요리']",['소면'],"['소면','달걀','쪽파','김가루','통깨','간장','설탕','올리고당','참기름','다진 마늘','깨소금','진간장','올리고당','다진마늘','설탕','참기름','후춧가루']",★☆☆,15분,집에 있는 재료들로 뚝딱 만들 수 있는 초간단 요리! 간장비빔국수 레시피 소개할게요. 탱글탱글한 국수 면발에 짭조름한 간장 양념이 더해져 자극없이 담백하면서도 끊임없이 당기는 맛이랍니다. 저 멀리 달아난 입맛도 되살려 줄 감칠맛 끝판왕! 소면과 양념만 있다면 누구든 손쉽게 요리할 수 있으니 망설이지 말고 얼른 만들어 보세요~,국숯집,숯간장비빔국수,https://static.wtable.co.kr/image/production/service/recipe/2195/0e15309f-8b59-4922-a4d7-1c8893fb5cfa.jpg,"소면 200g,달걀 2개,쪽파 2대,김가루 약간,통깨 약간,간장 2큰술,설탕 1큰술,올리고당 1큰술,참기름 1큰술,다진 마늘 1/2작은술,깨소금 1큰술"
갈릭버터 새우구이,3인분,"6,102","34,000","27,898","['Step 1 : 새우는 머리를 제거하고 꼬리 한마디만 남기고 껍질을 벗긴 후 내장을 제거해 주세요. 레몬즙과 후춧가루를 뿌려 10분간 재워주세요.', 'Step 2 : 레몬은 링으로 자르고 아스파라거스는 밑동을 자르고 필러로 껍질을 벗겨 2등분 해주세요. 미니 양배추는 반으로 잘라주세요.', 'Step 3 : 내열 용기에 새우와 버터, 레몬, 아스파라거스, 미니 양배추를 올린 후 올리브 오일, 소금, 후춧가루, 레드페퍼를 뿌려주세요.', 'Step 4 : 법랑 접시에 내열 용기를 올려 1단에 넣고 광파오븐 수동요리 <오븐>에서 200도로 20분간 구워주세요.', 'Step 5 : 갈릭 버터 새우구이에 다진 파슬리를 뿌려 맛있게 즐겨주세요.']",['오븐 요리'],['새우'],"['새우','다진 마늘','버터','아스파라거스','미니 양배추','레몬','레몬즙','다진 파슬리','올리브오일','레드페퍼','소금','후춧가루']",★☆☆,40분,"탱글탱글한 새우와 갈릭의 풍미, 버터의 깊은 맛이 환상적인 요리! 간단하지만 우리 집 식탁을 근사하게 만들어줄거에요.

*본 레시피는 우리의식탁과 LG ThinQ Taste가 공동으로 개발한 LG광파오븐 전용 레시피입니다.
",조개자비,새우구이,https://static.wtable.co.kr/image/production/service/recipe/2035/c9d43c4e-8989-4977-97c3-6254868f455b.jpg,"새우 20마리(400g),다진 마늘 ½큰술,버터 2큰술,아스파라거스 5대,미니 양배추 4개,레몬 ½ 개,레몬즙 1큰술,다진 파슬리 약간,올리브오일 1큰술,레드페퍼 한 꼬집,소금 1작은술,후춧가루 약간"
갈릭스테이크,2인분,"8,574","39,000","30,426","['STEP 1 : 쇠고기는 키친타월로 핏물을 제거하고 칼집을 넣어 올리브오일, 소금, 후추, 로즈메리에 20분간 재워주세요.', 'STEP 2 : 마늘은 편으로 썰고 양파는 얇게 채 썬 후 잠깐 물에 담갔다가 물기를 제거합니다. 달래는 4cm 길이로 잘라주세요.', 'STEP 3 : 마늘은 굽기 전에 키친타월로 물기를 제거해주세요.\n달군 팬에 올리브오일 3큰술을 두르고 마늘을 노릇하게 구워주세요.', 'STEP 4 : 팬의 올리브오일 1큰술은 따로 덜어놓고 구운 마늘은 키친타월에 올려 기름기를 제거합니다. 팬에 남은 올리브오일에 소스 재료를 넣고 잠깐 끓여주세요.', 'STEP 5 : 새로 달군 팬에 덜어놓은 올리브오일 1큰술을 두르고 쇠고기를 올려 기호에 맞게 구워주세요.', 'STEP 6 : 쇠고기를 한입 크기로 잘라 그릇에 담고 구운 마늘과 소스를 얹어주세요. 채 썬 양파, 달래를 섞어 곁들여주면 좋아요.']","['메인요리', '초대요리', '양식']","['쇠고기 등심','마늘']","['쇠고기 등심','마늘','양파','달래','올리브오일','소금.후추','로즈메리','간장','올리고당','발사믹식초','후추']",★★☆,40분,"향긋한 달래와 바삭한 마늘칩이 곁들여진 갈릭스테이크입니다. 비타민과 무기질, 칼슘이 풍부한 달래는 육류와 같이 섭취하면 콜레스테롤을 낮춰주는 효과가 있답니다. 새콤달콤한 발사믹 소스에 고소한 마늘칩을 곁들여 근사한 식탁을 차려보세요.",살롱순라,순라 허브갈릭 스테이크 (채끝등심),https://static.wtable.co.kr/image/production/service/recipe/168/0ee268e6-fe88-40c0-bb19-30b6bea0565a.jpg,"쇠고기 등심 300g,마늘 4~5쪽,양파 1/2개,달래 약간,올리브오일 3큰술,소금.후추 약간씩,로즈메리 약간,간장 3큰술,올리고당 2큰술,발사믹식초 1큰술,후추 약간"
