name,steps,tags,style,main_ing,total_ingredient,description
웨지감자튀김,"[' 감자는 껍질째 깨끗이 씻은 후 웨지 모양으로 잘라주세요.',' 끓는 물에 감자를 넣어 8분 정도 삶아 체에 받쳐 물기를 빼주세요.',' 감자의 물기를 제거한 후 가루 양념 재료를 고루 묻혀주세요.',' 170도로 달군 기름에 튀겨 식힌 후 한 번 더 센 온도에서 바삭하게 튀겨주세요.',' 튀긴 감자에 기호에 따라 파슬리 가루를 뿌린 후 케찹이나 치즈소스 등을 곁들여 즐겨주세요.']","['간식', '안주']",2인분,"['감자','파슬리가루']","['감자','파슬리가루','튀김가루','소금','후춧가루']",감자를 굵게 썰어 바삭하게 튀겨낸 웨지감자는 스테디셀러 간식이자 안주로 꾸준한 사랑을 받고 있죠. 바삭하게 튀긴 웨지감자를 케찹이나 치즈소스에 콕 찍어 맥주 한 잔과 곁들이면 어느 호프집 부럽지 않은 홈술 한 상이 완성돼요.
고구마 치즈전,"[' 고구마는 껍질을 필러로 제거하고 얇게 채를 썰어주세요.',' 채썬 고구마에 소금을 넣고 10분간 절여주세요.',' 고구마에 전분을 넣어 가볍게 섞어주세요.',' 팬에 기름을 두르고 6단에서 1분간 예열해 주세요.',' 고구마 반죽을 손바닥만한 크기로 올린 후 얇게 펼치고 5단에서 4분간 구워주세요.',' 뒤집어서 치즈를 올리고 5단에서 2분간 구워주세요.',' 뒤집어서 5단에서 2분간 구워 치즈를 노릇하게 녹여주세요.',' 완성된 고구마 치즈전을 접시에 담아 맛있게 즐겨주세요.']","['간식', '퓨전', '안주', '메인요리']",2인분(5~6pc),"['고구마','모짜렐라 치즈']","['고구마','모짜렐라 치즈','소금','식용유','전분']","달콤한 고구마와 고소한 치즈가 환상적으로 어울리는 고구마 치즈전! 얇게 채썬 고구마를 노릇하게 구워낸 후 모짜렐라 치즈를 듬뿍 올려주면 뚝딱 완성되는데요. 막걸리 한 잔과 곁들이는 안주로, 아이들 간식으로 강력 추천합니다. 명절을 맞아 이색적인 전 요리에 도전하고 싶다면 꼭 한번 만들어 보세요!

*본 레시피는 우리의식탁과 LG ThinQ Taste가 공동으로 개발한 LG 인덕션 전용 레시피입니다."
짬뽕,"[' 해감한 바지락은 흐르는 물에 비벼 깨끗이 씻어주세요.(tip. 바지락은 약간의 소금을 넣은 물에 담근 후 검은 봉지나 호일로 감싸서 빛을 차단해 1~2시간 정도 해감해 주세요)',' 오징어는 사선으로 칼집을 넣은 후 한입 크기로 썰어주세요. 대파는 세로로 가른 후 5cm 길이로 썰어주세요. 양파, 당근, 호박은 채썰어 주세요. 배추와 청경채는 먹기 좋은 크기로 썰어주세요. 목이버섯은 30분 정도 물에 불려서 먹기 좋은 크기로 손질해 주세요.',' 팬에 식용유를 두르고 다진 마늘, 다진 생강, 대파를 볶아 향을 내주세요. 돼지고기를 넣어 볶아주세요.',' 청경채를 제외한 채소를 넣고 볶다가 간장과 고춧가루를 넣어 채소에 잘 흡수되도록 충분히 볶아주세요.(tip. 팬의 가장자리에 간장을 넣어주면 불맛을 낼 수 있답니다)',' 팬에 준비된 물의 반을 넣고 소금, 치킨파우더, 후춧가루를 넣고 팔팔 끓여주세요. 채소가 육수에 우러나도록 끓인 후 나머지 물을 더 넣고 더 끓여주세요. 손질한 해물을 넣어 끓이다가 마지막으로 청경채를 넣어 완성해 주세요.(tip. 물은 다른 냄비에 팔팔 끓여 뜨거운 상태로 넣어주면 더욱 좋아요)(tip. 물 대신 시판용 사골육수를 넣어도 좋아요)',' 끓는 물에 중화면을 넣어 3~4분간 삶아주세요. 채반에 밭쳐 찬물로 헹군 후 뜨거운 물에 한번 담갔다가 물기를 빼서 그릇에 담아주세요. 완성된 육수를 부어 맛있게 즐겨주세요.(tip. 삶은 면을 찬물로 헹군 후 뜨거운 물에 한번 더 담그면 더 탱글탱글한 식감이 된답니다)']","['중식', '메인요리']",2인분,"['오징어','알새우','돼지고기','청경채','고춧가루']","['오징어','알새우','바지락','돼지고기','양파','대파','청경채','배추','목이버섯','표고버섯','홍고추','당근','호박','다진 마늘','다진 생강','물','고춧가루','간장','치킨파우더','소금','후춧가루','생중화면']",날씨가 쌀쌀해지기 시작하면 뜨끈하고 얼큰한 국물 생각이 절로 나죠. 해물이 듬뿍 들어가 시원하고 깊은 맛이 나는 짬뽕 레시피 소개할게요. 집에서 불맛 내는 꿀팁까지 포함돼 있으니 꼭 한번 따라해 보세요! 매콤한 짬뽕 한 그릇을 다 먹고 나서 고소한 우유 한 잔으로 속을 달래 줘도 좋답니다!
돼지안심 스테이크,"[' 돼지 안심은 근막을 제거하고 굵기가 다른 양 옆을 잘라내주세요. 소금, 후추로 밑간한 후 랩으로 단단하게 말아 실온에서 30분 정도 냉기를 빼주세요. (tip. 남은 고기는 다양한 요리에 활용해 보세요)',' 가니쉬용 오렌지는 껍질을 벗겨 제스트를 내어 채를 썰고 속살만 도려내주세요. 양파, 파프리카, 고추, 파슬리는 다져주세요. 손질한 채소와 나머지 재료를 섞어 차갑게 준비해 주세요.',' 팬에 올리브오일을 두르고 9단에서 1분간 예열해 주세요.',' 손질해 둔 돼지고기 안심을 올려 3단에서 1분씩 총 4분간 돌려가며 구워주세요.',' 3단에서 1분씩 총 4분간 돌려가며 한번 더 구워주세요.',' 으깬 마늘과 허브, 버터를 넣고 5단에서 4분간 버터를 끼얹어가며 구워주세요.',' 불을 끄고 팬에 포일을 덮어 10분간 레스팅 시켜주세요.',' 구운 고기는 1cm 두께로 썰어주세요.',' 접시에 먹기 좋게 썬 안심과 가니쉬를 올려 맛있게 즐겨주세요.']","['초대요리', '다이어트', '메인요리']",2인분,"['돼지고기 안심','올리브오일']","['돼지고기 안심','올리브오일','버터','타임','마늘','소금','후춧가루','오렌지','적양파','파프리카','청양고추','파슬리','올리브오일','꿀','소금','후춧가루','라임즙']","스테이크 하면 소고기만 떠오르신다고요? 돼지고기 안심을 이용해도 담백하고 고급스러운 스테이크를 거뜬하게 만들 수 있어요. 근사한 비주얼이라 분위기 있는 식사를 하고 싶을 때 딱 걸맞는 메뉴랍니다!ㅤ

*본 레시피는 우리의식탁과 LG ThinQ Taste가 공동으로 개발한 LG 인덕션 전용 레시피입니다."
마라샹궈,"[' 당면은 따뜻한 물에 30분 정도 불린 뒤 체에 받쳐 물기를 제거해주세요.',' 알배추는 5cm 크기로 잘라주세요. 청경채와 팽이버섯은 적당한 크기로 떼어내주세요. 연근은 모양대로 얇게 썰어주세요.',' 팬에 물 3컵을 넣고 9단에서 2분 30초간 끓여주세요.',' 끓는 물에 채소와 불린 당면을 넣고 9단에서 3분30초간 데쳐주세요.',' 팬에 식용유를 두르고 다진 마늘, 다진 파를 넣어 6단에서 2분간 볶아주세요.',' 마라소스를 넣고 6단에서 40초간 볶아주세요.(tip. 마라소스는 취향에 따라 더 넣어도 좋아요)',' 데친 재료와 우삼겹을 넣고 8단에서 2분30초간 볶아주세요.',' 불을 끄고 접시에 담아 완성해주세요.']","['중식', '메인요리']",2인분,"['마라소스','우삼겹']","['마라소스','알배추','청경채','연근','팽이버섯','우삼겹','넓적 당면','다진 마늘','다진 파','식용유']","마라샹궈는 '마라 향이 나는 냄비 음식'을 뜻하는데요. 고기와 채소, 버섯 등 각종 재료를  마라 소스와 함께 볶아 내면 손쉽게 완성할 수 있어요. 입안을 얼얼하게 만들면서도 왠지 모를 개운함이 느껴져 마니아층이 두터운 요리죠. 집에서 마라샹궈를 만들면 취향에 따라 재료를 빼거나 더하기 쉬워 더 좋답니다. 스트레스 확 날려줄 마라샹궈 만들기 도전해 보세요!ㅤ

*본 레시피는 우리의식탁과 LG ThinQ Taste가 공동으로 개발한 LG 인덕션 전용 레시피입니다."
야끼소바,"[' 냄비에 물 1리터를 붓고 9단에서 3분 30초간 가열해 주세요.',' 물이 끓으면 면을 넣고 1분간 젓가락으로 저어가며 데친 후 채반에서 물기를 빼주세요.',' 양파와 양배추는 도톰하게 썰어주세요. 당근은 얇게 편썰고 베이컨은 1cm 두께로 썰어 주세요.',' 팬에 식용유를 두르고 베이컨과 마늘을 넣고 5단에서 3분 30초간 볶아주세요.',' 양배추와 양파, 당근을 넣고 7단에서 2분간 볶아주세요.',' 면과 소스 재료를 넣고 7단에서 1분간 볶아주세요.',' 숙주와 새우를 넣고 8단에서 1분 30초간 볶아주세요.',' 완성된 야끼소바에 가쓰오부시와 통깨를 뿌려 맛있게 즐겨주세요.']","['일식', '안주']",3인분,"['야끼소바면','베이컨']","['야끼소바면','베이컨','새우','양배추','양파','당근','숙주','쪽파','다진 마늘','식용유','통깨','돈가스 소스','굴소스','간장','가쓰오부시']","인기 있는 일식 요리 중 하나인 야끼소바는 우리말로 볶음국수를 말하는데요. 달짝지근한 감칠맛이 느껴져 특히 맥주 안주로 최고예요. 야끼소바면을 각종 채소들과 함께 소스에 볶아 내면 뚝딱 완성할 수 있는데요. 소스 재료가 아주 간단해 누구나 어렵지 않게 만들 수 있어요. 시원한 맥주 한 잔과 야끼소바 어떠세요?ㅤ

*본 레시피는 우리의식탁과 LG ThinQ Taste가 공동으로 개발한 LG 인덕션 전용 레시피입니다."
깐풍기,"[' 닭다리살은 한입 크기로 썰어 청주, 소금, 후춧가루를 뿌려 10분간 재워주세요.',' 대파와 마늘, 양파는 굵게 다지고 홍고추, 청고추 는 씨를 빼고 송송 썰어주세요. 볼에 소스 재료를 넣고 섞어주세요.',' 재워둔 닭다리살의 물기를 키친타월로 닦아 볼에 담고 반죽재료를 넣어 섞어주세요.',' 냄비에 식용유를 넣고 9단에서 5분 30초 가열해 주세요.',' 5단으로 줄인 후 튀김옷을 입힌 닭고기를 넣어 5분간 튀겨주세요.튀겨낸 닭고기는 채반에서 기름을 빼고 한 김 식혀주세요. (tip. 닭고기를 한번에 많이 넣을 경우 기름의 온도가 급격히 떨어지니 2~3번에 나눠 넣어 튀기는것이 좋아요)',' 팬에 고추기름을 두르고 5단에서 대파와 마늘을 넣고 2분간 볶아주세요.',' 양파와 고추를 넣고 5단에서 1분간 볶아주세요.',' 소스를 붓고 7단에서 1분간 끓여주세요.',' 튀겨둔 닭다리살을 넣고 7단에서 1분간 볶아주세요.',' 완성된 깐풍기를 접시에 담아 통깨를 뿌려 맛있게 즐겨주세요.']","['중식', '메인요리']",4인분,['닭다리살 정육'],"['닭다리살 정육','식용유','고추기름','대파 흰 부분','마늘','홍고추','청양고추','양파','청주','소금','후춧가루','전분','물','달걀 흰자','간장','맛술','물','식초','설탕','올리고당','굴소스','생강가루']","부드러운 닭다리살을 노릇하게 튀겨낸 뒤 매콤달콤한 소스를 입힌 깐풍기! 깐풍기는 짜장면과 마찬가지로 한국 사람들의 입맛에 맞게 변형된 중국 음식인데요. 겉은 바삭하면서도 쫀득하고, 속은 폭신하면서도 부드러운 식감이 느껴지는 게 특징이죠. 기름 온도가 중요한 튀김 요리를 할 때 LG 인덕션을 이용하면 미세한 열 조절이 가능해 아주 편리해요. 황금 비율의 소스에 볶아낸 깐풍기는 술안주로도 아주 좋답니다!"
스테이크 솥밥,"[' 쌀은 씻어 30분간 불려주세요. 쪽파는 송송 썰어주세요.',' 채끝살은 키친타올로 핏물을 제거하고 소금, 후춧가루, 올리브오일로 밑간해 주세요.',' 팬에 올리브오일을 두른 후 통마늘을 넣고 5단에서 6분30초간 익혀주세요.',' 볶은 마늘을 덜어내고 소고기를 넣고 7단에서 양면을 2분씩 익혀주세요.',' 소고기는 포일에 감싸 10분 이상 레스팅 시킨 후 먹기 좋게 썰어주세요.',' 냄비에 고기 구운 팬에 있는 오일과 불린 쌀을 넣고 5단에서 1분간 볶아주세요.',' 물, 쯔유, 다시마를 넣고 뚜껑을 덮어 8단에서 3분간 끓여주세요.',' 2단에서 13분간 익혀주세요. 불을 끄고 인덕션에서 내려 10분간 뜸을 들여 완성해 주세요.',' 다시마는 건져내고 쪽파를 골고루 뿌려주세요. 구운 통마늘과 달걀 노른자, 소고기를 보기 좋게 담고 통깨를 뿌려 맛있게 즐겨주세요.']",['메인요리'],4인분,"['채끝살','올리브오일']","['채끝살','쌀','물','쯔유','올리브오일','다시마','올리브오일','소금','후춧가루','달걀 노른자','통마늘','쪽파','통깨']","노릇하게 구운 스테이크를 듬뿍 올린 솥밥! 채끝살과 마늘을 노릇하게 구운 후 남은 오일에 쌀을 볶아 풍미가 기가 막히답니다. LG 인덕션을 이용하면 미세한 열 조절이 가능해 솥밥 실패할 일이 없어요. 근사한 비주얼의 스테이크 솥밥 꼭 한번 만들어 보세요!ㅤ

*본 레시피는 우리의식탁과 LG ThinQ Taste가 공동으로 개발한 LG 인덕션 전용 레시피입니다."
카프레제,"[' 토마토는 약 0.5cm 정도로 슬라이스하고 모짜렐라 치즈도 같은 두께로 슬라이스 해주세요.',' 토마토, 치즈를 겹쳐 놓고 바질, 올리브오일, 소금, 후춧가루를 뿌려 주세요.']",['메인요리'],2인분,"['토마토','생모짜렐라 치즈']","['토마토','생모짜렐라 치즈','바질잎','올리브오일','소금','후춧가루']","카프레제는 이탈리아 남부에 위치한 카프리 섬의 여름 요리입니다. 수많은 관광객들에 의해 전세계에 알려져 현재는 굉장히 대중적인 샐러드가 되었죠. 고소하고 부드러운 생모짜렐라 치즈, 새콤달콤한 토마토, 향긋한 바질이 맛은 물론 색의 조화까지 이루는 요리예요. 재료를 먹기 좋게 썰어 접시에 올리기만 하면 끝이라 만들기도 아주 쉽답니다!"
양지수육전골,"[' 쇠고기 양지를 찬물에 담가 30분 정도 핏물을 빼주세요. 고기가 잠길 정도의 물과 고기 삶는 재료를 냄비에 넣고, 물이 끓어오르면 고기를 넣어 1시간 정도 삶아주세요.',' 양지를 얇게 편으로 썰어주세요.',' 부추는 깨끗이 씻어 7cm 길이로 자르고, 팽이버섯은 밑동을 잘라주세요.',' 소스 재료의 청양고추는 링으로 썰고, 양파는 굵게 다져 소스 재료와 섞어주세요.',' 냄비에 부추와 팽이버섯을 돌려 담고, 썰어 놓은 고기를 올려주세요.',' 냄비에 국물 재료를 넣고, 국물이 끓어오르면 약한불로 줄여 2분 정도 더 끓여 완성해 주세요.',' 고기와 야채에 소스를 곁들여 맛있게 즐겨주세요. (TIP. 기호에 따라 달걀 지단을 올리면 더욱 근사해요. 남은 국물에 칼국수를 넣어 먹거나, 다진 양파, 부추, 당근 등과 김가루, 밥을 넣어 죽을 만들어 드셔도 맛있답니다)']","['한식', '메인요리']",2~3인분,['소고기 양지'],"['소고기 양지','부추','팽이버섯','대파','양파','마늘','생강','통후추','간장','물','맛술','설탕','식초','양파','청양고추','초이스레시피 분말육수','물','소금','후춧가루']",집에서 즐기는 근사한 한식 메뉴! 양지 수육 전골 레시피 알려 드릴게요. 야들야들한 양지와 각종 채소에 깊은 맛의 국물을 더해 주면 완성되는데요. 초이스레시피 분말육수를 이용하면 아주 간단하게 진한 맛의 국물을 만들 수 있어요. 완성된 양지 수육을 황금비율의 소스에 콕 찍어 먹으면 황홀한 맛이랍니다. 
