,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
밥,-0.00057118974,0.0002761584,0.0050987015,0.009039779,-0.009307525,-0.0071780253,0.0064893044,0.009013121,-0.0049979603,-0.0038003724,0.0073538385,-0.0015343667,-0.0045878314,0.0065303347,-0.004866164,-0.0018709967,0.0028219055,0.0009917136,-0.008287924,-0.0094711585,0.0073284637,0.0050486266,0.00678741,0.0007507739,0.0063397163,-0.0033869303,-0.0009863919,0.005751315,-0.0075857844,-0.0039505307,-0.007538052,-0.00094406144,0.0095428545,-0.0073185214,-0.0023572156,-0.0019162009,0.008077263,-0.005947938,3.299391e-05,-0.0048088953,-0.0095980605,0.0049662935,-0.008782148,-0.0044227117,-1.3980282e-05,-0.00037192416,-0.007660545,0.00960436,0.0050456915,0.009231907,-0.008154302,0.0044932794,-0.004103804,0.0007982209,0.008485204,-0.004464508,0.0045448327,-0.0067862934,-0.0035634313,0.009368589,-0.0015843938,0.00029523755,-0.004150001,-0.0077119204,-0.0015539225,0.0024568217,-0.00088172895,0.0055826586,-0.002798401,0.002309414,0.0054252185,0.008366897,-0.0013975124,-0.009193459,0.004377987,0.00061582535,0.0074067535,-0.00081799855,-0.002672297,-0.008726231,-0.0008867459,0.0027991624,0.00535994,0.00709482,-0.005719322,0.001820561,0.0060643353,-0.0048119654,-0.0030754604,0.00679995,0.0016551372,0.0002047545,0.0034460896,0.00022939274,0.009651875,0.0050864625,-0.008922922,-0.0070473766,0.000909326,0.00633527
감자,-0.00862996,0.003688261,0.0052004084,0.0057455944,0.0074663707,-0.006201275,0.0011148484,0.006089761,-0.0028489947,-0.006199422,-0.00042523834,-0.008384231,-0.0056186644,0.007099964,0.003381263,0.0072157355,0.0067924876,0.0075239446,-0.003779076,-0.00058630796,0.002353895,-0.004527372,0.008406022,-0.009854399,0.0067384173,0.0029091972,-0.0049462398,0.0043761665,-0.0017739941,0.006706929,0.009971914,-0.0043810518,-0.00059531274,-0.0057124407,0.0038440363,0.0028251798,0.0068909563,0.006102179,0.0095315315,0.009247689,0.007893889,-0.0069901585,-0.009159675,-0.00034874506,-0.0031015,0.007884081,0.0059225573,-0.0015480083,0.0015122032,0.0018013262,0.007824899,-0.0094997715,-0.00020917805,0.0034525516,-0.00093754195,0.008386962,0.009016483,0.0065360107,-0.0007256875,0.007704947,-0.008552438,0.0031937433,-0.0046488647,-0.0050870385,0.0035695368,0.005382098,0.0077836188,-0.0057617147,0.007410219,0.006656376,-0.0037171242,-0.008733518,0.0054380973,0.0065319664,-0.0007706245,-0.006691683,-0.007096337,-0.0025017047,0.005116312,-0.003650298,-0.009367074,0.0038275747,0.004867579,-0.006421264,0.0012075562,-0.0020644553,1.2601722e-05,-0.009871546,0.002713039,-0.0047470517,0.0011102457,-0.0015697302,0.0021994498,-0.007879305,-0.0027102616,0.0026699402,0.0053388635,-0.0024064593,-0.009511209,0.004475629
달걀,7.043858e-05,0.0031185874,-0.006805419,-0.001348865,0.007673915,0.0073021157,-0.003649523,0.0026929139,-0.008316629,0.0061606234,-0.004655935,-0.0031671464,0.009283977,0.0008405771,0.0075073023,-0.0061345273,0.0051317555,0.009918612,-0.008460309,-0.005183364,-0.007049069,-0.004862796,-0.003765028,-0.008543452,0.007929797,-0.004846418,0.008372521,0.00523675,-0.006608978,0.003941803,0.0054402063,-0.0074377554,-0.0073828,-0.0024720924,-0.008636586,-0.0015520733,-0.00040655385,0.0033116778,0.0014038916,-0.00091916847,-0.005592541,0.0017015581,-0.00089673663,0.006789017,0.0039821337,0.004503994,0.0014592584,-0.0027326625,-0.004331438,-0.0010226072,0.001440109,-0.0026436422,-0.0070916717,-0.007829647,-0.009173053,-0.0059212153,-0.0017992338,-0.0043151523,-0.0064754924,-0.003727438,0.004284585,-0.003764378,0.008375809,0.0015027969,-0.0073032784,0.009471583,0.0076361373,0.0055117775,-0.006869165,0.0058603943,0.0039998237,0.0051928833,0.004288807,0.0019626361,-0.0031347193,0.008363359,0.009611517,0.0037937555,-0.0028944253,4.0586125e-05,0.0011835054,-0.008468373,-0.00830528,-0.00024046352,0.0012624636,-0.0057979375,-0.004749892,-0.007358202,0.008377522,0.00012139811,-0.004477105,0.0057125627,0.009142827,-0.004105574,0.00797973,0.0053922418,0.0058796573,0.00050177885,0.008202579,-0.0070417733
새우,-0.008254556,0.009323394,-0.00020701488,-0.001988863,0.0046251356,-0.0041368646,0.0027569148,0.006957263,0.0060748057,-0.007526702,0.009401035,0.004692447,0.003945606,-0.006254403,0.008454619,-0.0021684002,0.008831032,-0.005367244,-0.0081062745,0.0068220478,0.0016876474,-0.0021892663,0.009533378,0.009486319,-0.009802785,0.0025080366,0.0061338944,0.0038757203,0.0019828556,0.00041501777,0.00065902143,-0.0038375484,-0.007147491,-0.0021165954,0.0039165965,0.008821616,0.009250293,-0.00597703,-0.009408675,0.009762597,0.0034149033,0.005174729,0.0062728235,-0.0028024279,0.0073458306,0.0028123343,0.0028860876,-0.0023793662,-0.0031168868,-0.002353327,0.004287629,8.160775e-05,-0.009571178,-0.009669907,-0.0061745625,-0.00013628436,0.0019955966,0.009430323,0.0055783303,-0.004318845,0.00027885402,0.0049491134,0.007688139,-0.0011464056,0.0043170103,-0.005830478,-0.0007927648,0.008122322,-0.0023726742,-0.009653285,0.005781804,-0.0039099576,-0.0012011533,0.009990014,-0.0022475545,-0.004749558,-0.005338016,0.00697591,-0.0057513085,0.0020945554,-0.0052654925,0.0061172624,0.0043126787,0.002625648,-0.0014903129,-0.0027639451,0.009003534,0.0052358503,-0.0021666992,-0.009460699,-0.007411545,-0.0010405065,-0.00078308006,-0.002550288,0.009709377,-0.00045679655,0.005884179,-0.007452325,-0.0024968288,-0.0055830167
김밥용 김,-0.00715593,0.0012668188,-0.0071628415,-0.0022376229,0.0037248828,0.0057793157,0.0012270645,0.0021153924,-0.004123713,0.007212279,-0.006305631,0.0046284012,-0.008258489,0.0020430165,-0.0049594105,-0.0042599104,-0.0031533337,0.0056413827,0.005816701,-0.0050225845,0.00078123616,-0.008508779,0.007816798,0.009232292,-0.0027623472,0.0008200237,0.0007242536,0.0054593547,-0.008669939,0.0005512078,0.006869022,0.0022245946,0.0011026824,-0.009321371,0.008457266,-0.0062550246,-0.0030114441,0.0034946501,-0.0007863132,0.0013293162,0.0018032469,-0.006820689,-0.0097641265,0.009033484,0.00623141,-0.006956428,0.0034228081,0.00020970618,0.004763791,-0.0071033984,0.0040160846,0.004331893,0.00996885,-0.004472347,-0.0014010282,-0.007316109,-0.00970198,-0.009079539,-0.0010248548,-0.00653279,0.0048215156,-0.0061882515,0.0025177086,0.00073865923,-0.0033955448,-0.0009626322,0.0099881515,0.0091865705,-0.0045053605,0.009124068,-0.0056509883,0.0059561194,-0.0030528023,0.00346719,0.0030165468,0.006951076,-0.0024173015,0.008769546,0.00755557,-0.009545681,-0.008031574,-0.007670248,0.0028850907,-0.0027692064,-0.0069523426,-0.008132056,0.008314437,0.0019797087,-0.009320048,-0.0047959676,0.003144812,-0.004692456,0.0052516423,-0.004254552,0.0026606976,-0.008051545,0.006209603,0.004817622,0.0007863308,0.0029869184
오징어,-0.008739042,0.0022058396,-0.0008631468,-0.009362312,-0.0093749715,-0.001466132,0.00450369,0.0038082157,-0.006484513,-0.006915096,-0.00501964,-0.002294795,-0.007320055,-0.009616162,-0.0027451187,-0.008415959,-0.006094525,-0.005670313,-0.002327408,-0.0017053687,-0.008958013,-0.0007650702,0.008139595,0.0077069057,-0.007265244,-0.0036735008,0.00311214,-0.00962634,0.0014089786,0.0065014213,0.0057091885,-0.008816572,-0.0045317058,-0.008148039,9.152569e-06,0.009310116,0.005975203,0.0050897575,0.0050405404,-0.0033159903,0.009524035,-0.007357103,-0.0072289435,-0.002257997,-0.0007559841,-0.0032765064,-0.0005932642,0.0074934997,-0.00069625484,-0.0015994933,0.002731168,-0.008348932,0.007888778,0.008510796,-0.009636317,0.002438542,0.009939154,-0.0076548634,-0.006960548,-0.0077631124,0.008395901,-0.0007494283,0.009150365,-0.008184181,0.0036610712,0.0026597453,0.0007951979,0.0023866491,-0.007520043,-0.009277494,0.0023405482,0.006164603,0.008066163,0.0057848827,-0.0007322022,0.008334889,-0.00932078,0.0034403114,0.00017074565,0.0038351791,0.00734005,-0.0067391098,0.0055165375,-0.009526038,-0.0008031941,-0.008674801,-0.0051115057,0.009355792,-0.001835432,0.0028809241,0.0091370735,0.008977993,-0.0082069775,-0.0029595587,0.009915558,0.0051360237,-0.0016138921,-0.008734221,0.0029579315,-0.0067012594
전복,0.008142151,-0.004451001,-0.0010559442,0.0010093498,-0.00019788876,0.0011289059,0.0060866135,1.0675894e-06,-0.0032548981,-0.0014912493,0.005890275,0.0014952224,-0.00074460683,0.00932256,-0.004918351,-0.0008617216,0.009135077,0.0067441068,0.0015143006,-0.008919327,0.001164736,-0.0023085552,0.009378343,0.0012180465,0.0014562854,0.0024115527,-0.0018204428,-0.004996923,0.00022410898,-0.0020088556,0.006597383,0.008923786,-0.0006724277,0.0029876898,-0.0061219456,0.0016980021,-0.006922931,-0.008713942,-0.0059364466,-0.009023624,0.0072799595,-0.0057706772,0.008282733,-0.0072424463,0.003433226,0.009675207,-0.0077621685,-0.0099721765,-0.004326148,-0.002663931,-0.00027900864,-0.008835817,-0.008623621,0.0027916387,-0.008213938,-0.009086736,-0.0023325484,-0.008643829,-0.007094325,-0.008437935,-0.00029902268,-0.004569597,0.006630248,0.0015077959,-0.0033605203,0.0061488627,-0.0060125347,-0.0046330127,-0.0072243623,-0.0043201274,-0.0018385448,0.0064942297,-0.0027575332,0.0049546994,0.006937305,-0.0074242926,0.0045729033,0.006144335,-0.0029701928,0.0066168057,0.006128177,-0.006497225,-0.006804213,0.0025413686,-0.0016441998,-0.0060715815,0.009483123,-0.005123296,-0.006536614,-0.000113183785,-0.0026756453,0.00045735692,-0.0035632853,-0.00041085287,-0.0006803649,0.00083052093,0.008188242,-0.0057100644,-0.0016697834,0.0055721975
쌀,0.00817531,-0.0044092494,0.009028465,0.008274732,-0.004424796,0.00024963115,0.004293778,-0.00391416,-0.005546922,-0.0065269764,-0.0006835794,-0.00033618158,0.0044415123,-0.0025215205,-0.0001626684,0.0024414398,0.004818162,-4.6131077e-05,-0.006355694,-0.009252661,1.5576663e-05,0.0066939755,0.0014412322,-0.008973013,-0.00794258,0.006574136,-0.0038041114,0.0062304684,-0.0067066043,0.008483371,-0.0065332917,0.003257307,-0.0010677595,-0.006801906,-0.0033299893,-0.001169778,-0.0054637613,-0.0012142255,-0.007580882,0.0026285464,0.009080786,-0.0024024986,-0.000979364,0.0035032344,0.008672782,-0.0059682406,-0.0069245426,-0.0029030216,0.0091959955,0.000870972,-0.008696731,-0.0014734481,0.00952738,-0.0075642634,-0.0053728367,0.009340851,-0.008975455,0.0038101755,0.0006730893,0.0066591436,0.008299127,-0.0028662104,-0.003997021,0.008886905,0.0020512482,0.006305868,-0.009456014,0.009654138,-0.0014000125,-0.006032656,0.0029819384,-0.00043314125,0.0047416785,-0.002296003,-0.0041281395,0.002286794,0.008345105,-0.004977882,0.0026573525,-0.007995935,-0.006811912,-0.00047782707,-0.008836341,0.002823539,0.0016100295,-0.0023256242,0.0050214273,0.009770102,0.0084621,-0.0019019612,0.0020846145,-0.0039769947,-0.008259095,0.006293305,-0.0019340396,-0.0006617244,-0.0017623211,-0.004531013,0.0040507508,-0.0042908937
다진 돼지고기,-0.009570533,0.009011803,0.004189836,0.009225274,0.0066848653,0.0028608073,0.009801433,-0.0043609426,-0.006812104,0.0041878778,0.0037075419,-0.0056530214,0.009691628,-0.003594958,0.009576725,0.00078491756,-0.00635668,-0.0020054297,-0.0073700408,-0.0030168188,0.0010805994,0.009469557,0.009322669,-0.0065923287,0.0033912288,0.0022722404,-0.0025388063,-0.009272872,0.0009729261,-0.008165242,0.0062733223,-0.0058344384,0.005528516,0.009825066,-0.00016360133,0.0046153665,-0.0018216702,0.0073582022,0.003897045,-0.009083683,-0.0024137862,0.0036201738,-4.081187e-05,-0.0011956431,-0.0010204741,-0.0017152968,0.00057367305,0.004133628,-0.0042216554,-0.0038269819,-1.8703162e-05,0.0003097799,-0.00016509216,-0.004846037,0.0042704656,-0.0021672954,0.0021305578,0.0006818831,0.005960358,-0.006885899,-0.0068392954,-0.004525607,0.009432614,-0.0016422798,-0.009503934,-0.0005365352,-0.0044164145,0.006038313,-0.009603433,0.0028906548,-0.009244343,0.0012601354,0.006029512,0.0074499724,-0.0075697354,-0.0060198577,-0.0068000597,-0.007878957,-0.009589957,-0.0020893207,-0.000881747,-0.007261969,0.0067384643,0.0011322275,0.005837304,0.0014520235,0.0007719356,-0.007341058,-0.0021054498,0.0043252097,-0.0050328756,0.0011504745,0.002865537,-0.0015358751,0.0100012645,0.00837434,0.002375324,0.0070954137,0.0058832443,-0.0055784415
바지락,-0.005146924,-0.0066630705,-0.007769913,0.008332708,-0.0019773664,-0.0068625854,-0.004158606,0.0051533906,-0.0028863878,-0.0037582915,0.0016123672,-0.002795543,-0.0015805053,0.0010782136,-0.0029557662,0.008520972,0.0038934953,-0.009958047,0.0062779165,-0.00677963,0.0007750219,0.0044084885,-0.005116381,-0.002097645,0.008078486,-0.0042336383,-0.007641797,0.00924936,-0.0021661776,-0.0047326363,0.0085732555,0.004293809,0.004331857,0.009291076,-0.008462755,0.0052782292,0.0020290734,0.004181523,0.0016974168,0.0044560186,0.0044960384,0.006103076,-0.0031999305,-0.0045742234,-0.0004298223,0.0025281636,-0.0032725174,0.0060467636,0.0041810754,0.007755753,0.002581454,0.008128021,-0.0013982072,0.008075215,0.00370716,-0.008038065,-0.0039219684,-0.002457962,0.0049027074,-0.0008709026,-0.0028447958,0.007841376,0.00932268,-0.0016296983,-0.005186553,-0.0046849293,-0.0048524314,-0.009606966,0.0013668827,-0.0042061256,0.0025040652,0.005621122,-0.0040760576,-0.009604876,0.0015686129,-0.0066918954,0.0025009352,-0.0037806693,0.007063981,0.00064200093,0.0035478517,-0.002750847,-0.0017216471,0.007656436,0.0014127397,-0.005843011,-0.007840466,0.0012248759,0.0065005072,0.005565256,-0.008979874,0.008601121,0.0040321066,0.0074797124,0.009758273,-0.0072903465,-0.009048322,0.0058264383,0.009402995,0.0035003931
